Gene	Abba 2005 (ER)	Alexe 2007 (lymphocytic genes)	Ascierto 2012 (immune 349 genes)	Ayers 2004 (pCR elevated)	Beck 2009 (CSF1 macrophage)	Bertucci 2006 (ductal vs medullary)	Bianchini 2010 (22 genes)	Biocarta IL12	Biocarta IL13	Biocarta IL2	Biocarta IL4	Bos 2009 (brain met cell line)	Bos 2009 (brain met human)	Carter 2006 (CIN 25)	Carter 2006 (CIN 70)	Chang 2004 (CSR)	Chanrion 2008 (Tamoxifen 36 genes)	Cheang 2008 (TN prognostic predictor)	Choi 2010 (quintuple negative)	Coutant 2011 (ER- 30 genes)	Coutant 2011 (ER+ 39 genes)	Dai 2005 (cell proliferation)	Dairkee 2007 (oxidative stress)	Der 1998 (interferon induced)	Finak 2008 (SDPP)	Filipits 2011 (ER+/HER2- PCR 11 genes)	Galon 2006 (immune suppression)	Galon 2006 (immunogenes)	Galon 2006 (inflammation)	Galon 2006 (Th1 adaptive immunity)	Glinsky 2005 (poor prognosis)	Goldrath (immune memory)	Habermann 2009 (genomic instability)	RBHallett 2012 (basal 14 genes)	Hannemann 2006 (invasiveness)	Hess 2006 (pCR chemotherapy)	Hu 2009 (distant met VEGF)	Juul 2010 (Paclitaxel response)	Kang 2003 (bone met)	KEGG Antigen Processing and Presentation	Khoury 2010 (Trastuzumab resistance)	Khoury 2010 (HER2 untreated)	Korkola 2007 (21 genes)	Landemaine 2008 (lung met associated)	Landemaine 2008 (lung met predictor)	Li 2009 (chemotherapy 24 genes)	Lin 2010 (basal chemo 23 genes)	Liu 2007 (IGS)	Liu 2012 (HER2 TICS 17 genes)	Ma 2004 (two-gene ratio)	Martin 2008 (22 genes)	Miller 2005 (p53)	Minn 2005 (lung met 54 genes)	Minn 2005 (lung met 95 genes)	Naderi 2006 (70 genes)	Cheang 2008	Nimeus-malmstrom 2008 (local recurrence)	Saal 2007 (PTEN pathway)	Paik 2004 (OncotypeDX)	Planche 2011 (normal vs tumour stroma)	Rody 2009 (199 genes)	Rody 2009 (hemopoietic cell kinase)	Rody 2009 (immunoglobulin gamma)	Rody 2009 (interferon)	Rody 2009 (lymphocyte specific kinase)	Rody 2009 (MHC I)	Rody 2009 (MHC II)	Rody 2009 (STAT1)	Rody 2011 (TN good prognosis)	Rody 2011 (TN poor prognosis)	Sabatier 2011 (basalL MBC)	Sansregret 2011 (instability)	Schmidt 2011 (humoral immune)	Smeets 2010 (lymph node positive)	Smid 2006 (bone met)	Sotiriou 2006 (GGI)	Staff 2010 (HDPP)	Symmans 2010 (ER related)	Taube 2010 (EMT)	Teschendorff 2006 (t17)	Teschendorff 2006 (t52)	Teschendorff 2007 (immune response)	Thuerigen 2006 (neoadjuvant chemotherapy)	Tosolini 2001 (A1 Th1 cytotoxic)	Tosolini 2001 (A2 Th1)	Tosolini 2001 (B1 Th2)	Tosolini 2001 (B2 Th2)	Tosolini 2001 (B3 Th2)	Tosolini 2001 (C1 T regulatory)	Tosolini 2001 (C2 T regulatory Th2)	Tosolini 2001 (D1 Th17)	Ursini-Siegel 2010 (immune 43 genes)	Vanlaere 2008 (IBC signature)	Vantveer 2002 (MammaPrint)	Vanvliet 2008 (127 genes)	Wang 2005 (76 genes)	Watkins 2009 (CD14 monocyte)	Watkins 2009 (CD19 B cell)	Watkins 2009 (CD4 T helper)	Watkins 2009 (CD56 NK)	Watkins 2009 (CD66b granulocyte)	Watkins 2009 (CD8 cytotoxic T)	Watkins 2009 (erythroblast)	Watkins 2009 (megakaryocyte)	West 2011 (lymphocyte 8 genes)	Yau 2010 (TN poor outcome)	Unstratified predictor	ER+ predictor	ER- predictor	HER2+ predictor	HER2- predictor	ER-/HER2+ predictor	ER+/HER2+ predictor	ER-/HER2- predictor	ER+/HER2- predictor	lumA predictor	lumB predictor	normL predictor	ER+/normL predictor	her2E predictor	basalL predictor	ER-/her2E predictor	ER+/her2E predictor	ER-/basalL predictor	ER+/basalL predictor
RUTBC2																																																																																																				x																									
RUVBL1																x																																																																																																													
RUVBL2																																																																																																							x																						
RWDD1																							x																																																												x																																										
RYR2																																																																																																								x																					
S100A11																																																												x																	x																								x																								
S100A14																																																																															x																																														
S100A2												x																											x																																																																																						
S100A3																																							x																																																																x																						
S100A4												x																																																																																																																	
S100A7																																																																															x																																														
S100A8																																																																										x					x														x																																
S100A9																																																																																													x																																
S100B																																																																													x																																																
S100P																																																																										x																											x																								
S1PR1																																																												x																																																																	
S1PR4			x																																																																																																																										
SAA1																																							x																																								x																																														
SAA1 /// SAA2																																																																															x																																														
SAA2																																							x																																																																																						
SAG5P																																																							x																																																																						
SALL2																																																																																			x																					x																					
SAMD14																																																																																																								x																					
SAMD3.			x																																																																																																																										
SAMD4A																																							x																																																										x																												
SAMHD1		x	x		x																																																																																																																								
SAMSN1		x	x		x																																																								x				x																												x																																
SANG																																																									x																																																																				
SAP30L																x																																																																																																													
SAR1B																x																																																																																																													
SARG						x																																																																x																																																							
SART3																																																																																																																	x												
SASH1																																																												x																																					x																												
SAT1												x																																																																																				x																													
SAT2																																																																																																	x																												
SATB1																x																																																																																																													
SAV1						x																																																																	x																											x																											
SBNO2																																																																																																					x																								
SC4MOL		x														x																																																																																																													
SCAMP3																																																																																			x																																										
SCAMP4																																							x																																																																																						
SCAP1		x				x																																																																																																																							
SCARA3				x																																																																																																																									
SCARA5																																																												x																																																																	
SCARB2																																																																																																	x																												
SCARF1																							x																																																																																																						
SCARNA17																																																																										x																																																			
SCC-112																																																																						x																																																							
SCCPDH																																																																														x	x																																														
SCD																x																																																						x																																																							
SCGB2A2																							x																																																				x																																																		
SCGB3A1																																																				x																																																																									
SCGN																																																x																																																																													
SCMH1																																																																																																							x																						
SCML1						x																																																																	x																																																						
SCML2		x																																																																																																																											
SCN3A																																																												x																																																																	
SCNM1		x																																														x																																																																													
SCNN1A												x	x																										x																																																						x																																
SCP2		x																																																																																																																											
SCPEP1																																																																																																	x																												
SCRN1																																																	x																																																																												
SCRT2																																																																																			x																																										
SCUBE2	x																																			x										x													x																x																			x																															
SCYA18																																	x																																																																																												
SCYA5																																																													x				x																																																												
SCYL1																																																																																																					x																								
SDC1																x																																												x																																																																	
SDC2		x										x																																																																																																																	
SDC4	x																																																																									x																													x																						
SDCBP																								x																																																																													x																								
SDK2																																																																																																		x																											
SDPR																																																												x																	x																																									x							
SEC11L1																							x																																																																																																						
SEC14L1																																																										x																																																																			
SEC14L2	x																																																																																		x																																										
SEC22C																																																																																																							x																						
SEC23A																																																																						x																																																							
SEC23IP						x																																																																	x																																																						
SEC24A																																																																						x																																																							
SEC24C	x																																																																																																																												
SEC31L1		x																																																																																																																											
SEC61A1				x																																																																																																																									
SEC63		x																																																																																																																											
SECISBP2L																																																																										x																																																			
SELENBP1																x																																																																																							x																						
SELH						x																																																																																																																							
SELL		x			x																																																								x				x																																				x				x																	x			
SELM																																									x																																																																																				
SELP		x																																																																																																						x																					
SELPLG		x			x																																																								x				x																																																												
SEMA3B																																																																														x																																															
SEMA3C	x																																																																																																																												x
SEMA3F																																																																														x																																															
SEMA3G																							x																																					x																																			x																														
SEMA4C																																																							x																																																																						
SEMA4D		x																																																																																																																											
SEMA4F																																x																																																																																													
SEMA5A						x																																																				x													x								x																																														
SEMA6A																																																												x																	x																																																
SEMA6D																																																										x																																																																			
SEMA7A																																																																													x																																																
SENP5																																																										x																x			x																																																
SENP6																																															x																																																																														
SEPP1		x										x	x																																																																																																																
11-Sep																x																																																																																																													
6-Sep		x																																																																													x																																														
8-Sep																																																												x																																																																	
9-Sep																																																																										x																																																			
SEPX1																																																																										x																											x																								
SERF1A																																														x																																																x																															
SERPINA1																																							x																																																																																						
SERPINA5																																																																														x																																															
SERPINB1																																																																															x																																														
SERPINB2												x																																																										x									x																																														
SERPINB5																																																																											x																																																		
SERPINB8																																																																																																	x																												
SERPINB9		x																																																																																																																											
SERPIND1												x																																																																																																																	
SERPINE1												x																																																										x																																																							
SERPINE2												x																																							x			x																																																		x																					
SERPING1		x														x																																																																																																													
SERPINI1												x																																																																																																																	
SERTAD1																																																x																																																																													
SESN1																x																																																												x																																																	
SESN2																x																																																																																																													
SETBP1																																																																																			x												x			x													x														
SETD8																																																																																																							x																						
SF3A2																																																																																			x																																										
SF3B3																																																																								x																																																					
SFPQ																																																x												x																																																		x															
SFRP1																																									x																																																																																				
SFRS1																																																										x																																																																			
SFRS10																																																										x																																																																			
SFRS15																																																																																	x																																												
SFRS18																																																												x																																																																	
SFRS2															x	x																																																																																																													
SFRS5																																																																													x																																				x												
SFRS7																																																																																																														x															
SFTPB																x																																																																																																													
SFXN3																																																																										x																																																			
SGCE																																																																																																		x																											
SGEF																							x																																																																																																						
SGK1																																																																																																					x																								
SGK3																	x																															x																																																	x																												
SGK494																																																																										x																																																			
SGOL2																																																										x																																																																			
SGPL1						x																																																																	x																																																						
SGPP2																																																									x																																										x																										
SGSH																								x																																																											x																																										
SGSM2																					x																																																																																																								
SGTA																							x																																																																																																						
SH2B3					x																																																																																																																								
SH2D1A		x																																																											x				x																																																	x						x	x			x	
SH2D1B																																																																																																				x																									
SH2D2A		x	x																																																																																																																										
SH2D3A																																																																															x																																														
SH3BGRL	x																																								x							x												x																																																																	
SH3BGRL2																							x																																																																																																						
SH3BP4		x																																																																																																																											
SH3BP5																																																												x																	x																																																
SH3BP5L																x																																																																																					x																								
SH3D19																	x																																																																																																												
SH3D20																																																																																																					x																								
SH3GL1												x																																																																																																																	
SH3GL3																																																																																																								x																					
SH3GLB1																																																																																																					x																								
SH3KBP1																																																																													x																																																
SH3PXD2A																																																																							x																																	x																					
SH3TC1		x																																																																																																																											
SH3YL1																																																																													x																																																
SHARPIN																							x																																																																																																						
SHC1										x	x																																				x																																																																														
SHCBP1																																																																																															x																				x										
SHE																																																												x																																																																	
SHFM1																								x																																																																																																					
SHMT2																																																							x																					x																			x																														
SHOX2																																																							x																																																																						
ShrmL	x																																																																																																																												
SIAE																																																																																																								x																					
SIAH2	x					x																																																																	x																																																						
SIAT7B	x																																																																																																																												
SIGLEC14																																																																																																					x																								
SIGLEC5																																																																																																					x																								
SIGLECP3																																																																																																				x																									
SIK2																																																												x																																																																	
SIKE																																												x																																																																																	
SIN3B																																																																																	x																																												
SIPA1L2																																																																																																					x																								
SIRPA																																																																																																					x																								
SIRPB1			x																																																																																																		x																								
SIRPB2		x																																																																																																																											
SIRPD																																																																																																					x																								
SIRT3																					x																																																							x																																									x								
SIT1		x	x																																																																																																																										
SIVA																							x																																																																																																						
SIX2																																							x																																																																																						
SKAP1																																																																							x																																										x												
SKIV2L2																																																x																																																																													
SKP1																								x																																																						x																																															
SKP1A																																																																																													x																																
SKP2																																																																																													x																																
SLA		x																																																											x				x																																				x																								
SLAMF1		x	x																																																										x				x																																																												
SLAMF6																																																																																												x																																	
SLAMF7		x																																																																																										x																																	
SLAMF8		x	x																																																																																																																										
SLAMF9																																																																																												x																																	
SLC11A2																																																																																																							x																						
SLC12A2																																									x																																																																																				
SLC12A4			x																																																																																																																										
SLC12A6																																																																																																					x																								
SLC15A2																							x																																																																																																						
SLC15A4																																																																																																					x																								
SLC16A1																x																																																																																																													
SLC16A10																																																												x																																												x																					
SLC16A3																																					x																																																																x																								
SLC16A4																																																																										x																																											x								
SLC16A5			x																				x																																																																																																						
SLC16A7																																																																													x																																																x
SLC16A9																																																																																																							x																						
SLC19A1																																																																																																					x																								
SLC19A2																																																																														x																																															
SLC1A1																																																																											x																																																		
SLC1A3		x			x																																																																														x																																										
SLC1A4																																																												x																																																																	
SLC1A5																							x																																																			x																																																			
SLC22A17																x																																																																																																													
SLC22A18AS																																																						x																																																																							
SLC22A4																																																																																																					x																								
SLC22A5																																																																														x																																															
SLC22A6		x																																																																																																																											
SLC24A3																																																																																																								x																					
SLC24A4																																																																																																	x																												
SLC24A6																							x																																																																																																						
SLC25A11			x																																																																																																																										
SLC25A12																																																																																															x																														
SLC25A14												x																																																																																																																	
SLC25A16																																																																																													x																																
SLC25A21																																																																																																							x																						
SLC25A25																																																x												x																																																																	
SLC25A30																																																																						x																																																							
SLC25A33																																																x																																																																													
SLC25A36																x																																																																																																													
SLC25A39																																																																																																							x																						
SLC25A4																																																																																																														x															
SLC25A42																																																																													x																																																
SLC25A44																																																																																																					x																								
SLC25A5																x																																																																																																													
SLC26A6																							x																																																																																																						
SLC27A1																x																																																																																	x																												
SLC27A3																																																												x																																																																	
SLC27A5																																																																						x																																																							
SLC29A3		x																																																																																															x																												
SLC2A1																																x																																																																							x																						
SLC2A10		x																																																																																																																											
SLC2A11																																																																																																					x																								
SLC2A14																																																																																																					x																								
SLC2A3																							x																																															x																								x																															
SLC2A5																																																																																																		x																											
SLC2A6						x																																																																	x																																																						
SLC2A9		x																																																																													x																		x																												
SLC30A3																								x																																																																																																					
SLC30A5																																																																																																								x																					
SLC30A7																							x																																																																																																						
SLC31A1																																																																										x																																																			
SLC35A1																																																																																																x																													
SLC35B1				x																																					x																																																																																				
SLC35B2																																																																																			x																																										
SLC35D3																																																																																																								x																					
SLC35E1			x																																																																																																																										
SLC35E2																x																																																																																																													
SLC36A1																																																																																																							x																						
SLC36A4																																																																																																	x																												
SLC37A1																																																																																																								x																					
SLC37A2																																																																																																	x																												
SLC37A3																																																																										x																																																			
SLC38A5																							x																																																			x			x																										x																						
SLC38A6																																							x																																																																																						
SLC38A9																																																x																																																																													
SLC39A11																																																																										x									x																																										
SLC39A14																																																																																			x																																										
SLC39A6	x																																																																													x															x																																
SLC40A1																x									x																																																																																																				
SLC43A1																																																																																																							x																						
SLC43A3																																																																														x																																															
SLC44A1																																																x																																																								x																					
SLC44A4																																																																														x															x																																
SLC46A2																																																																																																	x																												
SLC4A1																																																																																																							x																						
SLC4A1AP						x																																																																	x																																																						
SLC4A3						x																	x																																																x																																																						
SLC4A7																																							x																																																																																						
SLC5A1																																										x																																																																																			
SLC5A3																x																							x																																																																																						
SLC5A5		x																																																																																																																											
SLC6A10P																																																																															x																																														
SLC6A16																																																																																																		x																											
SLC6A6																																																																																																					x																								
SLC6A8																																																																															x				x																				x																						
SLC6A9																																																																																																							x																						
SLC7A1						x																																																																	x																																																						
SLC7A10				x																																																																																																																									
SLC7A2																																																												x																																																																	
SLC7A5																																																																												x																			x																														
SLC7A7		x			x																																																								x	x																																			x																												
SLC7A8																																																																														x															x																																
SLC9A3																																											x																																																																																		
SLC9A3R1	x																																																																																																																												
SLC9A8																																																																																																																				x									
SLCO1B1																																																																																	x																																												
SLCO1B3																																																																						x																																																							
SLCO2B1		x																																																											x	x																																																															
SLCO3A1		x																																																																																																			x																								
SLCO4A1																																																						x																																																																							
SLIT3						x																																																																	x																																																						
SLITRK4																																																																																																	x																												
SLK																																																																													x																								x																								
SLPI																x																									x																																						x																						x																								
SMAD1												x																																																x																																																																	
SMAD6																																																																																																								x																					
SMAP2																																																																																																					x																								
SMARCA2																																															x																																																																														
SMARCA3																																																										x																																																																			
SMARCA4																																																							x																																																																						
SMARCC2			x																																																																																																																										
SMARCD3																																															x																																																		x																												
SMC2																x																																																																																																													
SMC4																				x																																																																												x																													
SMOC2																																																																										x																																																			
SMPD1																																																												x																																																																	
SMPD3																																																																																																					x																								
SMPDL3A																																																																																																	x																												
SMPDL3B																																																																															x																																														
SMS																x																																																																																																													
SMTN						x																																																																	x																																	x																					
SMU1																																																																																			x																																										
