Gene Symbol	1B	2B	3B	8B	9B	10B	11B	13B	14B	16B	17B
ABCB4	9.8318236	7.81220256	7.089836934	7.401538834	8.26930397	7.324691823	9.402521321	9.557814387	6.956756052	9.627779479	8.431020564
ABCB6	11.47522957	11.89293943	12.22969281	12.38313298	12.28120484	12.47581521	12.36842645	11.57221299	11.63398732	11.8198971	12.10127399
ABCB7	10.35677662	11.45917801	11.31646348	10.71424174	11.90436213	11.46764742	9.856377329	11.41878275	9.914419649	10.89036177	11.44313836
ABCB8	9.000732619	8.626705864	9.840881292	9.463678038	9.786569464	7.960769826	10.41017695	8.781514325	9.378893179	7.474623639	9.043739402
ABCB9	7.073540811	6.963378927	7.171136337	7.010506346	8.291915893	7.0528012	7.092525346	7.81102696	7.072752296	7.014936665	7.022592968
ABCB9	13.05724568	10.60293147	11.4959037	12.88027072	10.63848261	13.1111192	7.274720088	10.95207855	11.02528854	10.91233986	11.6735388
ABCB9	12.55527153	11.27208103	11.06366051	12.9351609	12.67538221	13.24965951	11.49713779	11.20515795	11.67277274	10.89181653	12.00253177
ABCC1	10.03744692	9.430895635	10.12945507	9.595279379	10.21573249	9.633333761	11.65629315	10.33861767	11.25857682	10.46718052	9.928203361
ABCC1	7.449830697	8.556705463	10.44258813	7.882397625	9.35370478	8.624200207	7.658995936	7.377311949	7.520609518	7.445534375	7.933395007
ABCC10	11.79952295	10.56313756	11.65589236	12.17926586	10.64460689	11.52550445	12.20539969	11.1497598	11.40385021	11.24343834	11.3695261
ABCC2	7.518740761	7.142629708	7.475722278	7.252152542	7.266587434	8.717362572	7.318170235	7.278195561	8.463645959	8.121242452	7.93395961
ABCC3	7.461711106	7.261530237	7.322442105	7.955145468	10.28116449	7.339845578	7.210239873	8.170582905	7.277483825	8.09003119	8.23501514
ABCC4	10.04847808	10.24931172	10.72892666	10.35761373	9.5096906	7.095561027	9.81408538	10.39530219	10.88919299	10.23197435	10.50469899
ABCC5	12.89846207	13.08033199	12.13825113	11.91302192	13.01308882	14.2638547	12.09781868	13.17909512	13.26123695	13.08714354	13.08239775
ABCC5	12.71938534	13.23149149	11.91989848	13.25463673	13.34290567	13.73896553	11.57971589	12.74248601	12.55929393	12.8125902	13.06719017
ABCC5	7.482862639	9.949023992	7.553482267	9.579135926	10.61275702	10.64669173	7.280137058	9.329285346	7.274979243	8.738972737	8.544551695
ABCC6	7.794297656	7.702788029	8.36112381	7.724899296	7.613214807	7.808289381	8.394583957	7.620783239	8.001767649	7.558306741	7.486768106
ABCC6	7.360837764	7.48773569	7.781573621	7.427195707	7.517105542	7.503434434	7.421676094	7.398850399	7.495985597	7.3420731	7.303629372
ABCC6	7.615347541	7.596289767	8.357715226	8.689783556	7.807493959	7.827759955	7.992787347	9.150403442	7.788155243	7.598433295	7.400505682
ABCC6	6.895675374	8.032503758	6.935487791	7.758024491	7.282483545	6.913086909	7.661566233	8.793855684	6.926765859	8.037998828	7.989384469
ABCC6	7.454486541	7.247352829	7.453377139	7.675984489	8.070397924	7.347962904	7.668945596	7.211621519	9.280756116	8.444952023	7.660126121
ABCC8	7.674303396	10.10443311	8.170047036	10.31179636	7.575927943	11.70460681	11.16084951	9.539893125	9.963455166	10.17479733	11.94638925
ABCC9	10.78011317	12.21809997	9.791708881	11.32089161	10.6943322	10.19748621	10.05756602	10.043884	12.47056647	12.02547071	10.81034842
ABCC9	7.633339665	8.882989458	8.592301913	7.544773946	8.010822488	7.503434434	7.589099351	7.935186776	8.04584236	7.87343053	7.903423975
ABCD1	9.164097836	7.779496485	7.193052234	11.56745968	7.11669226	9.569226514	7.094501025	7.062827899	7.124078095	9.271927135	8.299032614
ABCD2	9.84995847	10.8137482	7.343228454	7.366070345	8.151382992	10.05676672	10.00491994	10.7669295	10.45601432	10.83945045	8.853960012
ABCD4	6.980199822	9.32674735	7.282087724	7.130410669	8.296865986	7.119292932	11.84028531	8.9325098	10.61807632	9.127721171	7.128307834
ABCD4	7.356494864	7.993235339	7.313755646	7.309618608	7.360224096	7.371017428	7.457185877	8.071481158	7.195938746	7.281108924	7.73768631
ABCE1	11.70191612	11.57283837	12.20281872	11.05096074	11.80971128	11.8271344	9.624396022	11.09140627	11.77913122	11.45563756	11.30523864
ABCE1	7.132084183	7.530350388	6.976593692	7.597003727	8.083936775	7.147519207	7.230686477	7.818000882	7.162285473	8.244829423	7.935063674
ABCF1	14.20175868	13.71551605	14.0719837	13.80230624	13.72693711	14.02475069	13.70857298	13.68147362	13.54452998	13.84664657	13.80307804
ABCF1	11.97914153	10.91639644	11.83993162	11.68712552	10.46107792	11.40805183	7.179727377	10.79904968	11.00706108	11.82831891	11.23317229
ABCF2	10.40707055	7.419203817	10.07412726	10.11451088	9.56341809	8.877614873	10.34145208	9.327702265	9.639272079	8.97201943	9.292052795
ABCF2	10.39183863	8.948235269	11.38526811	10.51944907	11.64901019	10.79301994	7.480260911	10.02779399	11.06366051	10.43760491	8.860699461
ABCF2	10.24949019	8.599955427	7.377235722	9.690664062	7.354079057	9.007743902	7.469233305	9.22901945	9.421185513	10.11829021	9.089347441
ABCF3	12.05195954	10.94940479	11.15030695	10.58755512	9.925965339	11.69025523	10.77835355	10.84313452	9.603579461	11.55522665	10.7669295
ABCG2	10.28757696	10.2767112	7.132578518	9.43419368	7.107362493	9.14008113	7.040926459	9.70988019	11.0868129	9.868492417	9.494254871
ABCG4	11.41230296	11.54499087	11.81711631	10.63742642	12.56412786	11.02748848	8.026628044	9.137358439	11.55053411	11.82547888	11.49786608
ABCG5	8.26647688	8.152808857	8.834599876	8.132954071	8.293477535	8.311889327	8.693195792	8.057520429	8.563415346	8.24861802	8.027242049
ABHD10	12.26288841	12.37266854	11.9244029	11.17273962	12.0395581	12.36285904	8.487571008	12.57305379	12.53465407	12.46379273	12.5039737
ABHD14A	11.18455616	11.5128301	9.759533805	11.35073242	10.42695597	11.27331254	7.649144604	11.11544174	11.13556774	11.07498088	11.36610918
ABHD2	9.146293193	9.319895989	9.205361944	8.451013378	8.825029625	9.387146332	7.628057689	8.375606736	9.404702797	8.902431343	8.553125455
ABHD2	8.271542466	8.110460688	9.104658764	8.300964839	8.148730689	9.83463356	9.2882319	7.879755125	8.477478166	8.156737833	7.78605132
ABHD2	9.660355295	10.16716261	10.18744728	9.074002119	9.105545843	9.980037489	8.537867311	9.343670317	9.461071643	9.751041318	9.366345097
ABHD3	10.26569481	10.2326067	11.5886479	9.114574467	7.439829748	10.04791372	7.44378967	10.02808312	11.57530962	10.77248965	8.922640672
ABHD4	11.60156728	12.49627861	8.4021101	12.72851458	11.70655061	12.49157769	12.77855261	11.97748896	12.17145087	11.82349816	12.06555107
ABHD5	11.42423577	10.92765007	11.21705659	9.681898727	10.42396939	11.36534559	9.924537708	11.39430435	11.9863354	12.26125424	11.4531734
ABHD6	12.87417625	11.78977809	12.57527389	12.06878554	11.89409262	11.78236335	12.53378777	12.26461322	11.88467536	13.0442429	12.30927355
