Gene Symbol	1A	2A	3A	8A	9A	10A-avg	11A	13A	14A-avg	16A-avg	17A
ABHD2	8.909858574	10.22722231	8.616462841	9.324445429	9.817575481	9.12826011	10.6379437	11.14934127	10.4442276	8.908423043	8.566808689
ABHD3	9.642128379	9.916439896	9.513271044	10.76033827	11.62196331	10.54408897	8.545456496	10.54079144	10.57406679	11.20175366	10.6338588
ABHD4	11.88600614	12.04614218	12.41688918	11.66824114	12.14245294	13.11377814	11.30323449	11.52227545	12.07325306	12.20465882	11.86146726
ABHD5	10.20216362	11.02528854	10.38808404	8.014828279	11.43724481	11.10032309	11.48638437	12.20768876	11.04036407	10.86860619	9.060036722
ABHD6	11.73856319	12.63014125	10.86142198	11.40349021	11.56473834	10.54098038	12.55712808	12.02964367	11.63124759	11.87263355	11.79394022
ABHD8	10.97067395	13.82252877	12.52645076	10.04027659	12.75983729	11.58177531	10.53696585	12.31280136	12.1270189	11.39241085	9.859343683
ABI1	11.3550338	12.21318752	12.22723653	10.6447855	12.11756838	12.20820534	12.81062667	10.7178088	12.05678537	11.10391388	11.22890605
ABI1	9.604885905	9.11839647	9.819221685	12.02878578	9.11839647	9.88725292	10.22949478	10.24051537	11.15142287	10.42470978	11.72072179
ABI2	11.33707632	11.45768509	11.53154649	10.93850878	10.90676741	11.07326683	10.09108612	10.71723287	11.08835825	10.55023361	10.53076552
ABI2	10.83124094	11.14170772	10.52202528	12.27303974	10.78460558	11.37963891	10.47932822	11.47257953	10.92642166	11.67541159	11.86087253
ABI2	12.38778595	13.10291568	12.1999222	10.82883641	12.41144375	12.33388122	13.18033927	11.71264527	11.72584202	11.36609655	11.25059058
ABI3BP	10.58476062	10.96668361	9.489648496	12.15087825	10.78558554	10.41574452	10.07517328	10.77577542	10.55410123	10.6235282	10.87364022
ABL1	10.47479824	11.24747042	10.04888704	10.744346	11.31225892	10.2217694	7.152233813	7.115145053	9.026104344	10.47166314	9.465687601
ABL1	14.42447121	14.80507773	14.712893	14.38213561	14.80710098	14.57107894	14.87885395	14.75732463	14.46222698	14.45755144	13.81520664
ABL1	8.307581426	8.251685231	8.88180691	7.342854925	8.298539912	8.098192913	9.34946259	8.179217013	8.160081711	8.244017436	8.458209419
ABL2	8.874398344	10.95098132	9.671238347	8.491542971	10.92011455	9.517257211	11.12686513	9.373236009	9.93896486	9.75400234	9.406303597
